Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.01,0.43,14,35830,182610666616.00,0.056,480,222,0.012,0.4,0.121,78,71,1.1,0.15,0.701,0.149,0.54,Europe,Romania
0.013,0.47,29,730970,1904793021649.00,0.061,803,290,0.01,0.5,0.085,76,64,1.4,0.151,0.718,0.13,0.737,Europe,Russian Federation
0.01,,,,,0.055,3553,,0.003,0.5,0.059,86,80,1.1,,,,0.941,Europe,San Marino
0.009,0.34,13,16185,43749934551.00,0.103,622,279,0.006,0.4,0.172,77,72,1.3,0.167,0.695,0.138,0.553,Europe,Serbia
0.011,0.48,18,17349,95877536836.00,0.079,1415,231,0.007,0.7,,80,72,1.1,0.15,0.725,0.125,0.544,Europe,Slovak Republic
0.011,0.34,6,7249,50250147802.00,0.089,2171,260,0.003,0.7,,83,77,1.1,0.141,0.691,0.169,0.499,Europe,Slovenia
0.01,0.39,28,125570,1454534452554.00,0.093,2978,187,0.004,0.7,,86,80,1.1,0.151,0.677,0.173,0.787,Europe,Spain
0.012,0.52,16,49045,536000581090.00,0.095,5419,122,0.002,0.9,,84,80,1.2,0.166,0.649,0.185,0.852,Europe,Sweden
0.01,0.29,18,25375,658867317929.00,0.11,9248,63,0.004,0.9,0.027,85,81,1.3,0.149,0.679,0.172,0.737,Europe,Switzerland
0.017,0.4,6,112459,774754155294.00,0.061,644,226,0.019,0.4,,78,71,0.9,0.264,0.665,0.072,0.713,Europe,Turkey
0.011,0.57,24,126438,163421733019.00,0.073,262,657,0.01,0.3,0.159,76,66,1.2,0.14,0.704,0.156,0.689,Europe,Ukraine
0.013,0.36,12,188074,2462484285580.00,0.094,3659,110,0.004,0.9,0.005,83,79,1.2,0.175,0.656,0.169,0.816,Europe,United Kingdom
0.016,0.14,9,9506,29044378668.00,0.038,766,36,0.006,0.8,0.068,77,76,1.3,0.198,0.781,0.021,0.886,Middle East,Bahrain
0.019,0.44,11,212145,528426099489.00,0.068,483,344,0.016,0.2,0.11,75,72,0.7,0.236,0.712,0.052,0.712,Middle East,"Iran, Islamic Rep."
0.032,0.28,32,40220,191176927521.00,0.027,160,312,0.029,0.1,0.136,73,65,0.8,0.409,0.558,0.033,0.691,Middle East,Iraq
0.021,0.3,20,23254,258216783343.00,0.076,2373,235,0.003,0.7,0.06,84,80,1.2,0.273,0.622,0.105,0.919,Middle East,Israel
0.028,0.28,12,7064,28840197019.00,0.088,386,151,0.017,0.3,0.087,75,72,1.1,0.346,0.62,0.034,0.827,Middle East,Jordan
0.021,0.11,32,32523,160600006232.00,0.026,1349,98,0.009,0.7,0.052,75,73,1.6,0.251,0.728,0.021,0.983,Middle East,Kuwait
0.013,0.3,9,6349,40078938640.00,0.074,646,180,0.009,0.5,0.075,82,77,0.8,0.227,0.688,0.085,0.873,Middle East,Lebanon
0.022,0.22,8,25276,69971912138.00,0.024,610,62,0.01,0.5,0.062,79,74,1.6,0.257,0.717,0.026,0.757,Middle East,Oman
0.011,0.11,9,33285,169804731108.00,0.019,1738,36,0.007,0.7,0.055,79,77,1.2,0.134,0.856,0.01,0.988,Middle East,Qatar
0.02,0.15,21,187070,669506666667.00,0.035,721,79,0.014,0.5,,77,74,1.9,0.302,0.669,0.029,0.823,Middle East,Saudi Arabia
0.025,0.4,13,19986,,0.034,102,336,0.013,0.2,,78,72,0.6,0.355,0.607,0.038,0.561,Middle East,Syrian Arab Republic
0.016,0.14,13,66108,348594945288.00,0.031,1375,12,0.007,0.8,,78,76,1.3,0.14,0.857,0.003,0.844,Middle East,United Arab Emirates
0.032,0.33,12,7260,29207296703.00,0.05,63,248,0.044,0.1,0.25,64,61,0.5,0.413,0.559,0.028,0.323,Middle East,"Yemen, Rep."
,,,,,,,,,,,,,,,,,0.875,Oceania,American Samoa
0.014,0.47,3,122888,1386889147177.00,0.092,6114,109,0.004,0.8,0.077,84,80,1,0.189,0.674,0.137,0.889,Oceania,Australia
0.021,0.38,45,,3753485389.00,0.038,167,163,0.02,0.3,0.075,73,67,0.8,0.289,0.661,0.05,0.522,Oceania,Fiji
0.017,,,,,,,,,0.5,,78,74,0.8,0.233,0.698,0.07,0.563,Oceania,French Polynesia
0.018,,,,,,,,,0.6,,81,76,,0.271,0.654,0.075,0.942,Oceania,Guam
0.023,0.32,31,,172253739.00,0.108,181,120,0.047,0.1,,71,65,0.1,0.33,0.631,0.039,0.439,Oceania,Kiribati
,0.65,17,,170700000.00,0.16,567,128,0.032,0.1,,,,,,,,0.716,Oceania,Marshall Islands
0.024,0.59,16,,310287519.00,0.137,412,128,0.032,0.2,0.144,70,68,0.3,0.364,0.597,0.039,0.223,Oceania,"Micronesia, Fed. Sts."
0.016,,,,,,,,,0.5,,79,73,0.9,0.231,0.671,0.098,0.679,Oceania,New Caledonia
0.014,0.34,1,18167,163841041662.00,0.103,3715,172,0.005,0.8,0.061,83,79,1.1,0.204,0.663,0.133,0.862,Oceania,New Zealand
0.03,0.42,51,,12393604089.00,0.042,74,194,0.05,0,0.108,64,60,0.3,0.387,0.584,0.028,0.13,Oceania,Papua New Guinea
0.027,0.19,9,,631791993.00,0.07,245,224,0.016,0.1,0.1,76,70,,0.381,0.569,0.051,0.199,Oceania,Samoa
0.032,0.26,42,,868574141.00,0.077,124,80,0.026,0.1,0.132,69,66,0.5,0.406,0.561,0.033,0.205,Oceania,Solomon Islands
0.027,0.25,16,,423038017.00,0.05,219,164,0.011,0.3,0.114,75,69,0.5,0.374,0.568,0.058,0.234,Oceania,Tonga
0.027,0.08,35,,785745262.00,0.038,125,120,0.015,0.1,0.055,73,69,0.6,0.378,0.582,0.04,0.249,Oceania,Vanuatu
0.017,0.41,21,,1127037037.00,0.055,703,207,0.008,0.5,0.109,78,73,2,0.258,0.67,0.072,0.257,The Americas,Antigua and Barbuda
0.017,1.08,25,80112,557727273773.00,0.079,866,415,0.013,0.5,0.141,80,72,1.5,0.246,0.646,0.107,0.911,The Americas,Argentina
0.011,,,,2584463687.00,,,,,0.7,0.097,78,73,,0.204,0.689,0.107,0.427,The Americas,Aruba
0.015,0.47,24,,7872584000.00,0.075,1622,58,0.011,0.7,0.051,78,72,0.8,0.22,0.708,0.072,0.826,The Americas,"Bahamas, The"
0.013,0.41,18,,4368900000.00,0.072,935,245,0.014,0.7,0.087,77,73,1.2,0.191,0.704,0.105,0.319,The Americas,Barbados
0.024,0.33,44,,1489000000.00,0.058,264,147,0.015,0.2,0.134,77,71,0.7,0.349,0.612,0.039,0.447,The Americas,Belize
0.012,,,,5550771000.00,,,,,0.9,,82,77,,,,,1,The Americas,Bermuda
0.026,0.8,49,7704,23948541156.00,0.05,115,1080,0.033,0.3,0.109,69,65,0.8,0.356,0.596,0.048,0.669,The Americas,Bolivia
0.015,0.66,119,270028,2476694763271.00,0.089,1119,2600,0.014,0.5,0.439,77,70,1.2,0.25,0.679,0.071,0.846,The Americas,Brazil
0.011,0.26,5,251845,1778632046933.00,0.109,5656,131,0.005,0.8,0.03,83,79,0.8,0.164,0.691,0.145,0.811,The Americas,Canada
0.015,,,,,,,,,0.7,,,,1.7,,,,1,The Americas,Cayman Islands
0.014,0.25,8,33574,251162316598.00,0.071,1022,316,0.007,0.5,0.09,82,76,1.3,0.217,0.688,0.094,0.888,The Americas,Chile
0.019,0.76,14,31613,335415156702.00,0.065,466,193,0.015,0.4,0.112,77,70,1,0.284,0.658,0.058,0.753,The Americas,Colombia
0.016,0.55,60,4655,41237296807.00,0.102,883,246,0.009,0.4,0.161,82,77,0.9,0.244,0.689,0.067,0.729,The Americas,Costa Rica
0.01,,,11187,68233900000.00,0.106,648,,0.006,0.2,,81,77,0.1,0.169,0.703,0.127,0.767,The Americas,Cuba
0.013,,,,,,,,,,,81,74,1.4,0.197,0.669,0.134,0.898,The Americas,Curacao
,0.37,12,,491481481.00,0.06,402,117,0.011,0.5,0.088,,,1.5,,,,0.684,The Americas,Dominica
0.022,0.41,19,7382,55433248935.00,0.054,293,324,0.025,0.4,0.156,76,70,0.9,0.308,0.631,0.061,0.749,The Americas,Dominican Republic
0.021,0.35,56,12942,76769729000.00,0.069,362,654,0.02,0.3,,79,73,1,0.306,0.631,0.063,0.629,The Americas,Ecuador
0.02,0.35,17,4319,23139000000.00,0.068,252,320,0.015,0.2,,77,67,1.3,0.313,0.617,0.07,0.648,The Americas,El Salvador
0.014,,,,,,,,,0.6,,,,1,,,,0.848,The Americas,Greenland
0.019,0.45,15,,778518505.00,0.065,481,140,0.011,0.3,0.107,75,70,1.2,0.272,0.656,0.072,0.356,The Americas,Grenada
0.032,0.41,37,10163,47654789735.00,0.067,215,344,0.028,0.1,0.134,75,68,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
0.021,0.36,20,,2576602497.00,0.068,221,263,0.032,0.3,0.145,69,63,0.7,0.373,0.595,0.033,0.283,The Americas,Guyana
0.026,0.4,105,3211,7516834160.00,0.085,62,184,0.057,0.1,0.116,64,61,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
0.026,0.44,14,4740,17710325578.00,0.084,187,224,0.02,0.2,0.186,76,71,1,0.362,0.594,0.043,0.523,The Americas,Honduras
0.015,0.44,7,3066,14433926129.00,0.052,273,414,0.015,0.4,0.195,76,71,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
0.019,0.53,6,186171,1170085556896.00,0.06,609,347,0.014,0.4,0.049,79,75,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
0.024,0.67,39,3038,9898547558.00,0.076,124,207,0.021,0.1,0.105,77,71,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
0.02,0.44,8,4058,33270500000.00,0.079,664,482,0.016,0.4,0.069,80,74,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
0.024,0.35,35,4858,25071193102.00,0.089,352,387,0.02,0.2,0.174,74,70,1,0.331,0.616,0.053,0.587,The Americas,Paraguay
